Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
toughook-coat-rack,Toughook Coat Rack,"<p>Each size is available many colors - mix and match however you want with no minimum order</p><p>Every Toughook is tough against breakages in normal indoor usage</p><p>The original unbreakable hook - designed and manufactured in the USA</p>",Toughook,Home & Garden > Household Supplies,Coat Rack,hooks,TRUE,Number of Hooks,3,Color,Candy Red,,,TOUGH-3-CANDYRED,500,,10,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,Toughook Coat Rack - Unbreakable Hooks,Customizable coat rack with 3 6 or 9 hooks in 20+ colors. Tough and durable design.,Home & Garden > Household Supplies,Unisex,Adult,,new,FALSE,,g,,15,TRUE,,,TRUE,,,active
toughook-coat-rack,,,,,,,,,3,,Crimson,,,TOUGH-3-CRIMSON,500,,10,deny,manual,28.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Coral,,,TOUGH-3-CORAL,500,,10,deny,manual,27.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Orange,,,TOUGH-3-ORANGE,500,,10,deny,manual,26.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Sunny Yellow,,,TOUGH-3-YELLOW,500,,10,deny,manual,25.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Mustard,,,TOUGH-3-MUSTARD,500,,10,deny,manual,24.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Lime Green,,,TOUGH-3-LIMEGREEN,500,,10,deny,manual,31.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Forest Green,,,TOUGH-3-FORESTGREEN,500,,10,deny,manual,30.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Emerald,,,TOUGH-3-EMERALD,500,,10,deny,manual,32.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Teal,,,TOUGH-3-TEAL,500,,10,deny,manual,33.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Sky Blue,,,TOUGH-3-SKYBLUE,500,,10,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Navy Blue,,,TOUGH-3-NAVYBLUE,500,,10,deny,manual,35.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Royal Blue,,,TOUGH-3-ROYALBLUE,500,,10,deny,manual,36.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Purple,,,TOUGH-3-PURPLE,500,,10,deny,manual,37.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Lavender,,,TOUGH-3-LAVENDER,500,,10,deny,manual,38.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Pink,,,TOUGH-3-PINK,500,,10,deny,manual,39.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
